序号,时间节点,年代分类,年代名称,事件描述,图片说明,原始图片URL,本地图片路径,本地文件名
89,1961年,construction,社会主义建设时期,毛泽东在庐山,,https://p3.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611170625358.jpg,images/node_089_1961.jpg,node_089_1961.jpg
90,1962年8月,construction,社会主义建设时期,毛泽东会见著名乒乓球运动员和教练 （右起，丘钟惠、廖文挺、庄则栋、容国团； 左一傅其芳）,,https://p1.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611174625609.jpg,images/node_090_19628.jpg,node_090_19628.jpg
91,1962年,construction,社会主义建设时期,毛泽东在火车上看《大众电影》,,https://p5.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611175817383.jpg,images/node_091_1962.jpg,node_091_1962.jpg
92,1963年,construction,社会主义建设时期,毛泽东在上海打乒乓球,,https://p4.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611183487741.jpg,images/node_092_1963.jpg,node_092_1963.jpg
93,1963年,construction,社会主义建设时期,毛泽东会见哲学家冯友兰,,https://p3.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611184329551.jpg,images/node_093_1963.jpg,node_093_1963.jpg
94,1964年,construction,社会主义建设时期,毛泽东在北京、济南部队 军事训练汇报表演现场,,https://p3.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611185387190.jpg,images/node_094_1964.jpg,node_094_1964.jpg
95,1964年,construction,社会主义建设时期,毛泽东、周恩来在北京机场 与女民兵合影,,https://p4.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611190499507.jpg,images/node_095_1964.jpg,node_095_1964.jpg
96,1964年12月,construction,社会主义建设时期,毛泽东会见地质学家李四光,,https://p4.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611192240291.jpg,images/node_096_196412.jpg,node_096_196412.jpg
97,1965年1月,construction,社会主义建设时期,毛泽东会见生物化学家彭加木,,https://p3.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611193357195.jpg,images/node_097_19651.jpg,node_097_19651.jpg
98,1965年10月1日,construction,社会主义建设时期,毛泽东在天安门城楼上,,https://p1.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611195249970.jpg,images/node_098_1965101.jpg,node_098_1965101.jpg
99,1965年,construction,社会主义建设时期,毛泽东重上井冈山,,https://p1.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611200463401.jpg,images/node_099_1965.jpg,node_099_1965.jpg
99,1965年,construction,社会主义建设时期,毛泽东重上井冈山,,https://p5.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611202480684.jpg,images/node_100_1965b.jpg,node_100_1965b.jpg
